[00:00:01	][IC] Lorf: Pora pracować.
[18:54:47	]fistaszek :) ran SAM command 'noclip' with arguments: ''
[18:54:49	][OOC] Satordi Lavoie: nie wysyła się całego miasta, bo inne części miasta też trzeba chronić
[18:54:50	]fistaszek :) ran SAM command 'noclip' with arguments: ''
[18:54:53	][OOC] Satordi Lavoie: nie wiadomo jaki zakres jest ataku
[18:54:57	]fistaszek :) ran SAM command 'noclip' with arguments: ''
[18:54:59	]fistaszek :) ran SAM command 'noclip' with arguments: ''
[18:55:01	]fistaszek :) ran SAM command 'noclip' with arguments: ''
[18:55:01	][OOC] Satordi Lavoie: może to być bait na inną grupkę rebeliantów
[18:55:03	]fistaszek :) ran SAM command 'noclip' with arguments: ''
[18:55:04	][OOC] Satordi Lavoie: by się zakraść
[18:55:04	]fistaszek :) ran SAM command 'noclip' with arguments: ''
[18:55:05	]fistaszek :) was knocked unconscious and is bleeding out.
[18:55:11	]Pozytyw loaded the character 'Bonaventura Flamenco'
[18:55:19	]Bonaventura Flamenco entered observer.
[18:55:19	]Bonaventura Flamenco exited observer at their location.
[18:55:20	]fistaszek :) was just killed due to: accepting their death
[18:55:25	]Bonaventura Flamenco entered observer.
[18:55:29	]Bonaventura Flamenco exited observer at their location.
[18:55:30	]Satordi Lavoie entered observer.
[18:55:42	]Bonaventura Flamenco entered observer.
[18:55:43	]Bonaventura Flamenco exited observer at their location.
[18:55:48	]Satordi Lavoie exited observer at their location.
[18:56:09	]Bonaventura Flamenco ran 'Equip' on item 'Czarna opaska' (#6629)
[18:56:46	]Satordi Lavoie entered observer.
[18:56:46	]Satordi Lavoie exited observer at their location.
[18:56:47	]Satordi Lavoie entered observer.
[18:56:47	]Satordi Lavoie exited observer at their location.
[18:56:48	]Satordi Lavoie entered observer.
[18:56:50	]Satordi Lavoie exited observer at their location.
[18:56:52	]fistaszek :) ran SAM command 'noclip' with arguments: ''
[18:56:57	]fistaszek :) ran SAM command 'noclip' with arguments: ''
[18:56:59	][OOC] Satordi Lavoie: te mustwiny nie wiem jak wygląda na willardzie
[18:57:02	]Bonaventura Flamenco entered observer.
[18:57:03	]Bonaventura Flamenco exited observer at their location.
[18:57:07	][OOC] Satordi Lavoie: to chyba w indywidualnych sytuacjach raczej
[18:57:11	]Satordi Lavoie entered observer.
[18:57:12	]Satordi Lavoie exited observer at their location.
[18:57:12	]Satordi Lavoie entered observer.
[18:57:12	]Satordi Lavoie exited observer at their location.
[18:57:15	]Satordi Lavoie entered observer.
[18:57:16	]Satordi Lavoie exited observer at their location.
[18:57:22	]Satordi Lavoie entered observer.
[18:57:23	]Satordi Lavoie exited observer at their location.
[18:57:44	]Bonaventura Flamenco opened the 'Schowek "Jedynka"' stash.
[18:57:48	]Bonaventura Flamenco closed the 'Schowek "Jedynka"' stash.
[18:58:08	]Satordi Lavoie entered observer.
[18:58:09	]fistaszek :) ran SAM command 'noclip' with arguments: ''
[18:58:10	]fistaszek :) ran SAM command 'noclip' with arguments: ''
[18:58:11	]fistaszek :) ran SAM command 'noclip' with arguments: ''
[18:58:13	]fistaszek :) ran SAM command 'noclip' with arguments: ''
[18:58:14	]fistaszek :) ran SAM command 'noclip' with arguments: ''
[18:58:19	]fistaszek :) ran SAM command 'noclip' with arguments: ''
[18:58:27	]Bonaventura Flamenco entered observer.
[18:58:28	]Bonaventura Flamenco exited observer at their location.
[18:58:38	]Bonaventura Flamenco entered observer.
[18:58:42	]Bonaventura Flamenco exited observer at their location.
[18:58:46	]Satordi Lavoie exited observer at their location.
[18:58:47	]Satordi Lavoie entered observer.
[18:58:58	]Bonaventura Flamenco ran 'SetCredits' on item 'Karta identyfikacyjna #60526' (#6630)
[18:59:02	]Pozytyw ustawił(a) kredyty karty #6630's na 20.
[18:59:05	]Satordi Lavoie exited observer at their location.
[18:59:06	]Satordi Lavoie entered observer.
[18:59:06	]Satordi Lavoie exited observer at their location.
[18:59:07	]Satordi Lavoie entered observer.
[18:59:08	]Satordi Lavoie exited observer at their location.
[18:59:09	]Satordi Lavoie entered observer.
[18:59:10	]Satordi Lavoie exited observer at their location.
[18:59:11	]Satordi Lavoie entered observer.
[18:59:13	]Bonaventura Flamenco ran 'SetCredits' on item 'Karta identyfikacyjna #60526' (#6630)
[18:59:16	]Satordi Lavoie exited observer at their location.
[18:59:16	]Pozytyw ustawił(a) kredyty karty #6630's na 40.
[18:59:17	]Satordi Lavoie entered observer.
[18:59:18	]Satordi Lavoie exited observer at their location.
[18:59:18	]Satordi Lavoie entered observer.
[18:59:18	]Satordi Lavoie exited observer at their location.
[18:59:19	]Satordi Lavoie has taken 77 damage from worldspawn.
[18:59:19	]Satordi Lavoie entered observer.
[18:59:22	]Satordi Lavoie ran SAM command 'hp' with arguments: '^' '100'
[18:59:25	]Satordi Lavoie is fully healed.
[18:59:46	][PICKUP DISPENSER] Pozytyw ( Bonaventura Flamenco ) picked up an item from the pickup dispenser.
[18:59:46	]Bonaventura Flamenco has gained a 'Klucz do mieszkania' #6651.
[18:59:51	]Bonaventura Flamenco ran 'Assign' on item 'Klucz do mieszkania' (#6651)
[19:00:02	]Satordi Lavoie exited observer at their location.
[19:00:03	]Satordi Lavoie entered observer.
[19:01:03	]Bonaventura Flamenco entered observer.
[19:01:09	]Bonaventura Flamenco exited observer at their location.
[19:01:11	]Satordi Lavoie exited observer at their location.
[19:01:18	]Bonaventura Flamenco ran 'Assign' on item 'Klucz do mieszkania' (#6651)
[19:01:36	]Satordi Lavoie entered observer.
[19:01:38	]Satordi Lavoie exited observer at their location.
[19:01:39	]Satordi Lavoie entered observer.
[19:01:41	]Satordi Lavoie exited observer at their location.
[19:01:42	]Satordi Lavoie entered observer.
[19:01:42	]Satordi Lavoie exited observer at their location.
[19:01:44	]Satordi Lavoie entered observer.
[19:01:44	]Satordi Lavoie exited observer at their location.
[19:01:45	]Satordi Lavoie entered observer.
[19:02:06	]Satordi Lavoie exited observer at their location.
[19:02:06	]Satordi Lavoie entered observer.
[19:02:07	]Satordi Lavoie exited observer at their location.
[19:02:08	]Bonaventura Flamenco entered observer.
[19:02:08	]Satordi Lavoie entered observer.
[19:02:10	]Satordi Lavoie exited observer at their location.
[19:02:11	]Satordi Lavoie entered observer.
[19:02:11	]Satordi Lavoie exited observer at their location.
[19:02:12	]Satordi Lavoie entered observer.
[19:02:12	]Satordi Lavoie exited observer at their location.
[19:02:13	]Satordi Lavoie entered observer.
[19:02:17	]Satordi Lavoie exited observer at their location.
[19:02:18	]Satordi Lavoie entered observer.
[19:02:18	]Satordi Lavoie exited observer at their location.
[19:02:19	]Satordi Lavoie entered observer.
[19:02:20	]Satordi Lavoie exited observer at their location.
[19:02:23	]Bonaventura Flamenco exited observer at their location.
[19:02:26	][OOC] Satordi Lavoie: zapraszam na rządowy
[19:02:42	]Bonaventura Flamenco entered observer.
[19:02:43	]Bonaventura Flamenco exited observer at their location.
[19:03:02	]Bonaventura Flamenco entered observer.
[19:03:06	]Bonaventura Flamenco exited observer at their location.
[19:03:07	]Satordi Lavoie used command '/CharSetGasPoints ^ 25'.
[19:03:43	]fistaszek :) przeszedł w tryb AFK.
[19:03:48	]Bonaventura Flamenco entered observer.
[19:03:52	]Bonaventura Flamenco exited observer at their location.
[19:04:21	]Bonaventura Flamenco entered observer.
[19:04:23	]Bonaventura Flamenco exited observer at their location.
[19:04:23	]Bonaventura Flamenco entered observer.
[19:04:24	]Bonaventura Flamenco exited observer at their location.
[19:04:41	]Bonaventura Flamenco opened the 'Personalny Schowek 625' stash.
[19:04:41	]Bonaventura Flamenco closed the 'Personalny Schowek 625' stash.
[19:04:42	]Bonaventura Flamenco opened the 'Personalny Schowek 625' stash.
[19:04:43	]Bonaventura Flamenco closed the 'Personalny Schowek 625' stash.
[19:04:43	]Bonaventura Flamenco opened the 'Personalny Schowek 625' stash.
[19:04:46	]Bonaventura Flamenco closed the 'Personalny Schowek 625' stash.
[19:05:08	]Bonaventura Flamenco opened the 'Personalny Schowek 625' stash.
[19:05:08	]Bonaventura Flamenco closed the 'Personalny Schowek 625' stash.
[19:05:10	]Bonaventura Flamenco ran 'take' on item 'Bank Soda Zhongguo ' (#3962)
[19:05:10	]Bonaventura Flamenco has gained a 'Bank Soda Zhongguo ' #3962.
[19:05:13	]Bonaventura Flamenco ran 'Consume' on item 'Bank Soda Zhongguo ' (#3962)
[19:05:13	]Bonaventura Flamenco has gained a 'Plastik' #6652.
[19:05:33	]Bonaventura Flamenco entered observer.
[19:05:35	]Bonaventura Flamenco exited observer at their location.
[19:05:37	]Bonaventura Flamenco entered observer.
[19:05:39	]Bonaventura Flamenco exited observer at their location.
[19:05:45	]Bonaventura Flamenco entered observer.
[19:05:48	]Bonaventura Flamenco exited observer at their location.
[19:05:59	]Bonaventura Flamenco ran 'drop' on item 'Plastik' (#6652)
[19:05:59	]Bonaventura Flamenco has lost a 'Plastik' #6652.
[19:08:10	]Bonaventura Flamenco entered observer.
[19:08:14	]Bonaventura Flamenco exited observer at their location.
[19:08:26	][IC] Satordi Lavoie: Aha...
[19:08:31	]Satordi Lavoie has spawned a 'NPC [1554][npc_metropolice]'.
[19:08:32	]Satordi Lavoie has spawned a 'NPC [1560][npc_metropolice]'.
[19:08:33	]Satordi Lavoie has spawned a 'NPC [1565][npc_metropolice]'.
[19:08:34	]Satordi Lavoie has spawned a 'NPC [1580][npc_metropolice]'.
[19:08:35	]Satordi Lavoie has spawned a 'NPC [1756][npc_metropolice]'.
[19:08:36	]Satordi Lavoie has spawned a 'NPC [1801][npc_metropolice]'.
[19:08:37	]Satordi Lavoie has taken 0 damage from npc_metropolice.
[19:08:37	]Satordi Lavoie has spawned a 'NPC [1803][npc_metropolice]'.
[19:08:37	]Satordi Lavoie has taken 3 damage from npc_metropolice.
[19:08:37	]Satordi Lavoie has taken 6 damage from npc_metropolice.
[19:08:37	]Satordi Lavoie has taken 0 damage from npc_metropolice.
[19:08:37	]Satordi Lavoie has spawned a 'NPC [1805][npc_metropolice]'.
[19:08:37	]Satordi Lavoie has taken 3 damage from npc_metropolice.
[19:08:37	]Satordi Lavoie has taken 0 damage from npc_metropolice.
[19:08:38	]Satordi Lavoie has taken 3 damage from npc_metropolice.
[19:08:38	]Satordi Lavoie has spawned a 'NPC [1942][npc_metropolice]'.
[19:08:38	]Satordi Lavoie has taken 3 damage from npc_metropolice.
[19:08:38	]Satordi Lavoie has taken 3 damage from npc_metropolice.
[19:08:38	]Satordi Lavoie has taken 0 damage from npc_metropolice.
[19:08:38	]Satordi Lavoie has taken 3 damage from npc_metropolice.
[19:08:38	]Satordi Lavoie has taken 3 damage from npc_metropolice.
[19:08:38	]Satordi Lavoie entered observer.
[19:08:44	]fistaszek :) has taken 3 damage from npc_metropolice.
[19:08:57	]Bonaventura Flamenco opened the 'Schowek "Dwójka"' stash.
[19:08:59	]Bonaventura Flamenco closed the 'Schowek "Dwójka"' stash.
[19:09:01	]Satordi Lavoie has spawned a 'NPC [2002][npc_vj_civil_protection_z]'.
[19:09:02	]Satordi Lavoie has spawned a 'NPC [2005][npc_vj_civil_protection_z]'.
[19:09:03	]Satordi Lavoie has spawned a 'NPC [1552][npc_vj_civil_protection_z]'.
[19:09:04	]Satordi Lavoie has spawned a 'NPC [1866][npc_vj_civil_protection_z]'.
[19:09:07	]Satordi Lavoie has spawned a 'NPC [1872][npc_vj_civil_protection_z]'.
[19:09:12	]Satordi Lavoie has spawned a 'NPC [1874][npc_vj_civil_protection_z]'.
[19:09:15	]Satordi Lavoie has spawned a 'NPC [1925][npc_vj_civil_protection_z]'.
[19:09:18	]Bonaventura Flamenco entered observer.
[19:09:22	]Bonaventura Flamenco exited observer at their location.
[19:09:23	]Bonaventura Flamenco entered observer.
[19:09:24	]Bonaventura Flamenco exited observer at their location.
[19:09:25	]Satordi Lavoie has used a context menu option with the name: remove
[19:09:37	]Bonaventura Flamenco ran 'Assign' on item 'Klucz do mieszkania' (#6651)
[19:09:42	]Satordi Lavoie has spawned a 'NPC [1874][npc_vj_civil_protection_z]'.
[19:09:55	]Satordi Lavoie exited observer at their location.
[19:09:56	]Satordi Lavoie entered observer.
[19:10:08	]Bonaventura Flamenco has taken 30 damage from Civil Protection.
[19:10:09	]William Brown exited observer at their location.
[19:10:09	]William Brown entered observer.
[19:10:18	]Bonaventura Flamenco has taken 30 damage from Civil Protection.
[19:10:41	]Bonaventura Flamenco has taken 8 damage from npc_manhack.
[19:10:57	]Bonaventura Flamenco has taken 30 damage from Civil Protection.
[19:10:59	]Bonaventura Flamenco was knocked unconscious and is bleeding out.
[19:11:00	]Bonaventura Flamenco was killed while bleeding out.
[19:11:00	]Civil Protection has killed Bonaventura Flamenco with npc_vj_civil_protection_z.
[19:11:05	]Bonaventura Flamenco entered observer.
[19:11:06	]Bonaventura Flamenco exited observer at their location.
[19:11:09	]Bonaventura Flamenco entered observer.
[19:11:10	]Bonaventura Flamenco exited observer at their location.
[19:11:14	]Bonaventura Flamenco entered observer.
[19:11:16	]Bonaventura Flamenco exited observer at their location.
[19:11:16	][OOC] Satordi Lavoie: no i ck kolego
[19:11:16	]Bonaventura Flamenco entered observer.
[19:11:17	]Bonaventura Flamenco exited observer at their location.
[19:11:18	]Bonaventura Flamenco entered observer.
[19:11:23	]Bonaventura Flamenco exited observer at their location.
[19:11:36	]Bonaventura Flamenco has given himself a leadpipe.
[19:11:36	]Bonaventura Flamenco has gained a 'Rura' #6653.
[19:11:39	]Bonaventura Flamenco ran 'Equip' on item 'Rura' (#6653)
[19:11:40	]Satordi Lavoie exited observer at their location.
[19:11:43	]Satordi Lavoie entered observer.
[19:11:43	]Satordi Lavoie exited observer at their location.
[19:11:46	]Satordi Lavoie has taken 64 damage from worldspawn.
[19:11:46	]Satordi Lavoie entered observer.
[19:11:47	]Satordi Lavoie exited observer at their location.
[19:11:49	]Satordi Lavoie ran SAM command 'hp' with arguments: '^' '100'
[19:11:50	]Satordi Lavoie has taken 84 damage from worldspawn.
[19:11:50	]Satordi Lavoie entered observer.
[19:11:51	]Satordi Lavoie ran SAM command 'hp' with arguments: '^' '100'
[19:11:55	]Satordi Lavoie is fully healed.
[19:11:57	]Satordi Lavoie exited observer at their location.
[19:12:06	]Bonaventura Flamenco has taken 4 damage from npc_manhack.
[19:12:06	]Bonaventura Flamenco has hit npc_manhack dealing 45 damage (CritChance was 0.12).
[19:12:23	]Bonaventura Flamenco opened the 'Kosz' #537 container.
[19:12:25	]Bonaventura Flamenco closed the 'Kosz' #537 container.
[19:12:40	]Satordi Lavoie entered observer.
[19:12:46	]Satordi Lavoie has spawned a 'NPC [1565][npc_vj_hunter2_z]'.
[19:13:00	]Bonaventura Flamenco has given himself a breach.
[19:13:00	]Bonaventura Flamenco has gained a 'Ładunek wyważający' #6654.
[19:13:05	]Bonaventura Flamenco entered observer.
[19:13:07	]Satordi Lavoie exited observer at their location.
[19:13:09	]Satordi Lavoie entered observer.
[19:13:13	]Bonaventura Flamenco exited observer at their location.
[19:13:16	][OOC] Satordi Lavoie: co ty za zamek dales xD
[19:13:21	]Satordi Lavoie exited observer at their location.
[19:13:22	][OOC] Bonaventura Flamenco: Ja nic nie dawałem
[19:13:30	]Bonaventura Flamenco ran 'Place' on item 'Ładunek wyważający' (#6654)
[19:13:32	]Satordi Lavoie entered observer.
[19:14:33	]Bonaventura Flamenco entered observer.
[19:14:38	]Bonaventura Flamenco exited observer at their location.
[19:14:40	]Bonaventura Flamenco has hit fistaszek :) dealing 45 damage (CritChance was 0.12).
[19:14:40	]fistaszek :) has taken 45 damage from Bonaventura Flamenco.
[19:14:43	]Bonaventura Flamenco has hit fistaszek :) dealing 45 damage (CritChance was 0.12).
[19:14:43	]fistaszek :) has taken 45 damage from Bonaventura Flamenco.
[19:14:45	]Bonaventura Flamenco has hit fistaszek :) dealing 45 damage (CritChance was 0.12).
[19:14:45	]fistaszek :) was knocked unconscious and is bleeding out.
[19:14:47	]Bonaventura Flamenco entered observer.
[19:14:48	]fistaszek :) nie jest już AFK. Całkowity czas spędzony AFK:  960
[19:14:48	]Bonaventura Flamenco exited observer at their location.
[19:15:17	]Bonaventura Flamenco used the 'Terminal Dystrybucyjny' vendor.
[19:15:22	]Bonaventura Flamenco used the 'Terminal Dystrybucyjny' vendor.
[19:15:38	]Satordi Lavoie exited observer at their location.
[19:15:38	]Satordi Lavoie entered observer.
[19:15:40	]Satordi Lavoie exited observer at their location.
[19:15:47	]Satordi Lavoie entered observer.
[19:15:49	]Bonaventura Flamenco entered observer.
[19:15:52	]Satordi Lavoie exited observer at their location.
[19:15:52	]Bonaventura Flamenco exited observer at their location.
[19:15:58	]Bonaventura Flamenco entered observer.
[19:16:03	]Bonaventura Flamenco exited observer at their location.
[19:16:27	][OOC] William Brown: xd
[19:16:27	]Satordi Lavoie entered observer.
[19:16:27	]Satordi Lavoie exited observer at their location.
[19:16:38	]Satordi Lavoie entered observer.
[19:16:44	][OOC] William Brown: pierwszy raz slyszalem taki ryk szaliwuna
[19:16:46	]Bonaventura Flamenco ran 'EquipUn' on item 'Rura' (#6653)
[19:16:49	]Satordi Lavoie exited observer at their location.
[19:16:51	]Bonaventura Flamenco ran 'drop' on item 'Rura' (#6653)
[19:16:51	]Bonaventura Flamenco has lost a 'Rura' #6653.
[19:16:53	]Satordi Lavoie entered observer.
[19:17:07	]Satordi Lavoie exited observer at their location.
[19:17:08	]Satordi Lavoie entered observer.
[19:17:09	]Satordi Lavoie exited observer at their location.
[19:17:09	]Satordi Lavoie entered observer.
[19:17:10	]Satordi Lavoie exited observer at their location.
[19:17:14	][OOC] Satordi Lavoie: przerywanie roleplayu
[19:17:18	]Bonaventura Flamenco entered observer.
[19:17:19	]Bonaventura Flamenco exited observer at their location.
[19:17:22	][OOC] Satordi Lavoie: by klocic sie na rzadowym
[19:17:22	]Bonaventura Flamenco entered observer.
[19:17:24	]Bonaventura Flamenco exited observer at their location.
[19:17:26	]Bonaventura Flamenco entered observer.
[19:17:28	][OOC] Satordi Lavoie: to moja ulubiona rzecz
[19:17:33	]Bonaventura Flamenco exited observer at their location.
[19:17:35	]Bonaventura Flamenco has taken 5 damage from cmu_door1.
[19:17:35	]Bonaventura Flamenco has taken 5 damage from cmu_door1.
[19:17:35	]Bonaventura Flamenco has taken 5 damage from cmu_door1.
[19:17:35	]Bonaventura Flamenco has taken 5 damage from cmu_door1.
[19:17:35	]Bonaventura Flamenco has taken 5 damage from cmu_door1.
[19:17:35	]Bonaventura Flamenco has taken 5 damage from cmu_door1.
[19:17:35	]Bonaventura Flamenco has taken 5 damage from cmu_door1.
[19:17:35	]Bonaventura Flamenco has taken 5 damage from cmu_door1.
[19:17:35	]Bonaventura Flamenco has taken 5 damage from cmu_door1.
[19:17:36	]Bonaventura Flamenco has taken 5 damage from cmu_door1.
[19:17:36	]Bonaventura Flamenco has taken 5 damage from cmu_door1.
[19:17:36	]Bonaventura Flamenco has taken 5 damage from cmu_door1.
[19:17:36	]Bonaventura Flamenco has taken 5 damage from cmu_door1.
[19:17:36	]Bonaventura Flamenco has taken 5 damage from cmu_door1.
[19:17:36	]Bonaventura Flamenco has taken 5 damage from cmu_door1.
[19:17:36	]Bonaventura Flamenco has taken 5 damage from cmu_door1.
[19:17:36	]Bonaventura Flamenco has taken 5 damage from cmu_door1.
[19:17:36	]Bonaventura Flamenco has taken 5 damage from cmu_door1.
[19:17:36	]Bonaventura Flamenco has taken 5 damage from cmu_door1.
[19:17:36	]Bonaventura Flamenco was knocked unconscious and is bleeding out.
[19:18:36	]Bonaventura Flamenco was just killed due to: accepting their death
[19:18:38	]Bonaventura Flamenco entered observer.
[19:18:39	]Bonaventura Flamenco exited observer at their location.
[19:18:43	]Bonaventura Flamenco entered observer.
[19:18:44	]Bonaventura Flamenco exited observer at their location.
[19:18:48	]Bonaventura Flamenco entered observer.
[19:18:49	]Bonaventura Flamenco exited observer at their location.
[19:18:54	]Bonaventura Flamenco entered observer.
[19:18:55	]Bonaventura Flamenco exited observer at their location.
[19:18:57	]Satordi Lavoie entered observer.
[19:18:57	]Satordi Lavoie exited observer at their location.
[19:18:58	]Satordi Lavoie entered observer.
[19:18:59	]Bonaventura Flamenco entered observer.
[19:19:01	]Satordi Lavoie exited observer at their location.
[19:19:03	]Bonaventura Flamenco exited observer at their location.
[19:19:04	]Bonaventura Flamenco entered observer.
[19:19:08	]Bonaventura Flamenco exited observer at their location.
[19:19:10	]Bonaventura Flamenco entered observer.
[19:19:13	]Bonaventura Flamenco exited observer at their location.
[19:19:14	]Bonaventura Flamenco entered observer.
[19:19:16	]Satordi Lavoie entered observer.
[19:19:17	]Bonaventura Flamenco exited observer at their location.
[19:19:17	]Satordi Lavoie exited observer at their location.
[19:19:17	]Bonaventura Flamenco entered observer.
[19:19:18	]Bonaventura Flamenco exited observer at their location.
[19:19:20	]Satordi Lavoie entered observer.
[19:19:20	]Bonaventura Flamenco entered observer.
[19:19:21	]Satordi Lavoie exited observer at their location.
[19:19:23	]Bonaventura Flamenco exited observer at their location.
[19:19:24	]Bonaventura Flamenco entered observer.
[19:19:27	]Bonaventura Flamenco exited observer at their location.
[19:19:40	]Bonaventura Flamenco entered observer.
[19:19:42	]Satordi Lavoie entered observer.
[19:19:52	]Bonaventura Flamenco exited observer at their location.
[19:19:57	]William Brown ran 'Write' on item 'ewikcja' (#3165)
[19:19:59	]Bonaventura Flamenco used command '/ActSit'.
[19:20:03	]Satordi Lavoie exited observer at their location.
[19:20:04	]Bonaventura Flamenco used command '/ExitAct'.
[19:20:18	]fistaszek :) przeszedł w tryb AFK.
[19:20:42	]Bonaventura Flamenco entered observer.
[19:20:42	]Bonaventura Flamenco exited observer at their location.
[19:20:43	]Bonaventura Flamenco entered observer.
[19:20:43	]Bonaventura Flamenco exited observer at their location.
[19:20:44	]Bonaventura Flamenco entered observer.
[19:20:45	]Bonaventura Flamenco exited observer at their location.
[19:20:47	]Bonaventura Flamenco entered observer.
[19:20:49	]Bonaventura Flamenco exited observer at their location.
[19:21:37	]Bonaventura Flamenco entered observer.
[19:21:39	]Bonaventura Flamenco exited observer at their location.
[19:21:40	]Bonaventura Flamenco entered observer.
[19:21:40	]Bonaventura Flamenco exited observer at their location.
[19:21:40	]Bonaventura Flamenco entered observer.
[19:21:41	]Bonaventura Flamenco exited observer at their location.
[19:21:48	]Satordi Lavoie entered observer.
[19:21:49	]Satordi Lavoie exited observer at their location.
[19:21:55	]Bonaventura Flamenco entered observer.
[19:21:57	]Bonaventura Flamenco exited observer at their location.
[19:22:00	]Bonaventura Flamenco entered observer.
[19:22:00	]Bonaventura Flamenco exited observer at their location.
[19:22:23	]Satordi Lavoie entered observer.
[19:22:24	]Satordi Lavoie exited observer at their location.
[19:22:24	]Satordi Lavoie entered observer.
[19:22:26	]Satordi Lavoie exited observer at their location.
[19:22:42	]Satordi Lavoie entered observer.
[19:22:43	]Satordi Lavoie exited observer at their location.
[19:22:43	]Satordi Lavoie entered observer.
[19:22:44	]Satordi Lavoie exited observer at their location.
[19:22:44	]Satordi Lavoie entered observer.
[19:22:45	]Satordi Lavoie exited observer at their location.
[19:22:45	]Satordi Lavoie entered observer.
[19:22:46	]Satordi Lavoie exited observer at their location.
[19:22:47	]Satordi Lavoie entered observer.
[19:22:48	]Satordi Lavoie exited observer at their location.
[19:22:48	]Satordi Lavoie entered observer.
[19:22:49	]Satordi Lavoie exited observer at their location.
[19:22:49	]Satordi Lavoie entered observer.
[19:22:50	]Satordi Lavoie exited observer at their location.
[19:22:51	]Satordi Lavoie entered observer.
[19:22:51	]Satordi Lavoie exited observer at their location.
[19:22:52	]Satordi Lavoie entered observer.
[19:22:53	]Satordi Lavoie exited observer at their location.
[19:22:56	]Satordi Lavoie entered observer.
[19:22:57	]Satordi Lavoie exited observer at their location.
[19:22:58	]Satordi Lavoie entered observer.
[19:22:58	]Satordi Lavoie exited observer at their location.
[19:22:59	]Satordi Lavoie entered observer.
[19:23:01	]Satordi Lavoie exited observer at their location.
[19:23:01	]Satordi Lavoie entered observer.
[19:23:02	]Satordi Lavoie exited observer at their location.
[19:23:03	]Satordi Lavoie entered observer.
[19:23:04	]Satordi Lavoie exited observer at their location.
[19:23:04	]Satordi Lavoie entered observer.
[19:23:05	]Satordi Lavoie exited observer at their location.
[19:23:06	]Satordi Lavoie entered observer.
[19:23:06	]Satordi Lavoie exited observer at their location.
[19:23:07	]Satordi Lavoie entered observer.
[19:23:08	]Satordi Lavoie exited observer at their location.
[19:23:09	]Satordi Lavoie entered observer.
[19:23:09	]Satordi Lavoie exited observer at their location.
[19:23:10	]Satordi Lavoie entered observer.
[19:23:11	]Satordi Lavoie exited observer at their location.
[19:23:11	]Satordi Lavoie entered observer.
[19:23:12	]Satordi Lavoie exited observer at their location.
[19:23:12	]Satordi Lavoie entered observer.
[19:23:13	]Satordi Lavoie exited observer at their location.
[19:23:13	]Satordi Lavoie entered observer.
[19:23:14	]Satordi Lavoie exited observer at their location.
[19:23:15	]Satordi Lavoie entered observer.
[19:23:15	]Satordi Lavoie exited observer at their location.
[19:23:16	]Satordi Lavoie entered observer.
[19:23:17	]Satordi Lavoie exited observer at their location.
[19:23:17	]Satordi Lavoie entered observer.
[19:23:18	]Satordi Lavoie exited observer at their location.
[19:23:18	]Satordi Lavoie entered observer.
[19:23:19	]Satordi Lavoie exited observer at their location.
[19:23:19	]Satordi Lavoie entered observer.
[19:23:20	]Satordi Lavoie exited observer at their location.
[19:23:20	]Satordi Lavoie entered observer.
[19:23:21	]Satordi Lavoie exited observer at their location.
[19:23:22	]Satordi Lavoie entered observer.
[19:23:23	]Satordi Lavoie exited observer at their location.
[19:23:23	]Satordi Lavoie entered observer.
[19:23:24	]Satordi Lavoie exited observer at their location.
[19:23:24	]Satordi Lavoie entered observer.
[19:23:25	]Satordi Lavoie exited observer at their location.
[19:23:25	]Satordi Lavoie entered observer.
[19:23:26	]Satordi Lavoie exited observer at their location.
[19:23:27	]Satordi Lavoie entered observer.
[19:23:32	]Satordi Lavoie exited observer at their location.
[19:23:33	]Satordi Lavoie used command '/ActSit 5'.
[19:23:34	]Satordi Lavoie used command '/ExitAct'.
[19:23:35	]Satordi Lavoie used command '/ActSit 4'.
[19:23:38	]Satordi Lavoie used command '/ExitAct'.
[19:23:38	]Satordi Lavoie used command '/ActSit 5'.
[19:23:39	]Satordi Lavoie used command '/ExitAct'.
[19:23:43	]Satordi Lavoie used command '/ActSit 4'.
[19:23:44	]Satordi Lavoie used command '/ExitAct'.
[19:23:47	]Satordi Lavoie used command '/ActSit 4'.
[19:23:47	]Satordi Lavoie used command '/ExitAct'.
[19:23:52	]Satordi Lavoie used command '/ActSit 4'.
[19:23:52	]Satordi Lavoie used command '/ExitAct'.
[19:23:55	]Satordi Lavoie used command '/ActSit 4'.
[19:23:55	]Satordi Lavoie used command '/ExitAct'.
[19:23:57	]Satordi Lavoie used command '/ActSit 5'.
[19:23:58	]Satordi Lavoie used command '/ExitAct'.
[19:24:07	][OOC] Satordi Lavoie: tu stoliki
[19:24:09	][OOC] Satordi Lavoie: znikły??
[19:24:09	][OOC] William Brown: XD
[19:24:12	][OOC] Satordi Lavoie: w sklepie
[19:24:15	][OOC] William Brown: persista mialy
[19:24:18	][OOC] William Brown: i unbreakable
[19:24:41	]Bonaventura Flamenco was knocked unconscious and is bleeding out.
[19:24:42	][OOC] Satordi Lavoie: to moze jak zrestartuje to magiczne sie pojawią
[19:24:42	]Bonaventura Flamenco was killed while bleeding out.
[19:24:42	]worldspawn has killed Bonaventura Flamenco.
[19:24:43	]fistaszek :) bled out.
[19:24:47	]Wenli has connected.
[19:24:47	]Bonaventura Flamenco entered observer.
[19:24:48	]fistaszek :) nie jest już AFK. Całkowity czas spędzony AFK:  565
[19:25:06	]Bonaventura Flamenco exited observer at their location.
