[14:15:56	]Commissar_Krieger s'est connecté.
[18:16:45	]Garet a transféré un 'Munitions de pistolet' #200885 vers un conteneur nommé 'Caisse en bois' #10519.
[18:16:45	]Garet a transféré un 'Munitions de pistolet' #200884 vers un conteneur nommé 'Caisse en bois' #10519.
[18:16:45	]Garet a transféré un 'Munitions de pistolet' #200883 vers un conteneur nommé 'Caisse en bois' #10519.
[18:16:45	]Garet a transféré un 'Munitions de pistolet' #200882 vers un conteneur nommé 'Caisse en bois' #10519.
[18:16:46	]Garet a transféré un 'Munitions de pistolet' #200888 vers un conteneur nommé 'Caisse en bois' #10519.
[18:16:46	]Garet a transféré un 'Munitions de pistolet' #200881 vers un conteneur nommé 'Caisse en bois' #10519.
[18:16:46	]Garet a transféré un 'Munitions de pistolet' #200887 vers un conteneur nommé 'Caisse en bois' #10519.
[18:16:46	]Garet a transféré un 'Munitions de pistolet' #200893 vers un conteneur nommé 'Caisse en bois' #10519.
[18:16:48	]Garet a fermé le stockage 'Caisse en bois' #10519.
[18:16:49	]Garet s'est give bullets_pistol.
[18:16:49	]Garet a gagné un 'Munitions de pistolet' #200894.
[18:16:50	]Garet s'est give bullets_pistol.
[18:16:50	]Garet a gagné un 'Munitions de pistolet' #200895.
[18:16:51	]Garet s'est give bullets_357.
[18:16:51	]Garet a gagné un 'Munitions 357' #200896.
[18:16:51	]Garet s'est give bullets_357.
[18:16:52	]Garet a gagné un 'Munitions 357' #200897.
[18:16:52	]Garet s'est give bullets_357.
[18:16:52	]Garet a gagné un 'Munitions 357' #200898.
[18:16:52	]Garet s'est give bullets_357.
[18:16:53	]Garet a gagné un 'Munitions 357' #200899.
[18:16:53	]Garet s'est give bullets_357.
[18:16:53	]Garet a gagné un 'Munitions 357' #200900.
[18:16:54	]Garet s'est give bullets_357.
[18:16:54	]Garet a gagné un 'Munitions 357' #200901.
[18:16:54	]Garet s'est give bullets_357.
[18:16:54	]Garet a gagné un 'Munitions 357' #200902.
[18:16:57	]Garet s'est give bullets_smg1.
[18:16:57	]Garet a gagné un 'Munitions pour mitraillette' #200903.
[18:16:57	]Garet s'est give bullets_smg1.
[18:16:58	]Garet a gagné un 'Munitions pour mitraillette' #200904.
[18:16:58	]Garet s'est give bullets_smg1.
[18:16:58	]Garet a gagné un 'Munitions pour mitraillette' #200905.
[18:16:58	]Garet s'est give bullets_smg1.
[18:16:59	]Garet a gagné un 'Munitions pour mitraillette' #200906.
[18:16:59	]Garet s'est give bullets_smg1.
[18:16:59	]Garet a gagné un 'Munitions pour mitraillette' #200907.
[18:17:00	]Garet s'est give bullets_smg1.
[18:17:00	]Garet a gagné un 'Munitions pour mitraillette' #200908.
[18:17:00	]Garet s'est give bullets_smg1.
[18:17:00	]Garet a gagné un 'Munitions pour mitraillette' #200909.
[18:17:01	]Garet s'est give bullets_smg1.
[18:17:01	]Garet a gagné un 'Munitions pour mitraillette' #200910.
[18:17:01	]Garet s'est give bullets_smg1.
[18:17:01	]Garet a gagné un 'Munitions pour mitraillette' #200911.
[18:17:02	]Garet s'est give bullets_smg1.
[18:17:02	]Garet a gagné un 'Munitions pour mitraillette' #200912.
[18:17:02	]Garet s'est give bullets_smg1.
[18:17:02	]Garet a gagné un 'Munitions pour mitraillette' #200913.
[18:17:04	]Garet s'est give bullets_smg1.
[18:17:04	]Garet a gagné un 'Munitions pour mitraillette' #200914.
[18:17:05	]Garet s'est give bullets_smg1.
[18:17:05	]Garet a gagné un 'Munitions pour mitraillette' #200915.
[18:17:05	]Garet a ouvert le stockage 'Caisse en bois' #10519.
[18:17:07	]Garet a transféré un 'Munitions pour mitraillette' #200911 vers un conteneur nommé 'Caisse en bois' #10519.
[18:17:07	]Garet a transféré un 'Munitions pour mitraillette' #200910 vers un conteneur nommé 'Caisse en bois' #10519.
[18:17:07	]Garet a transféré un 'Munitions pour mitraillette' #200909 vers un conteneur nommé 'Caisse en bois' #10519.
[18:17:08	]Garet a transféré un 'Munitions pour mitraillette' #200908 vers un conteneur nommé 'Caisse en bois' #10519.
[18:17:08	]Garet a transféré un 'Munitions pour mitraillette' #200906 vers un conteneur nommé 'Caisse en bois' #10519.
[18:17:08	]Garet a transféré un 'Munitions de pistolet' #200895 vers un conteneur nommé 'Caisse en bois' #10519.
[18:17:09	]Garet a transféré un 'Munitions de pistolet' #200894 vers un conteneur nommé 'Caisse en bois' #10519.
[18:17:10	]Garet a transféré un 'Munitions pour mitraillette' #200903 vers un conteneur nommé 'Caisse en bois' #10519.
[18:17:10	]Garet a transféré un 'Munitions pour mitraillette' #200904 vers un conteneur nommé 'Caisse en bois' #10519.
[18:17:11	]Garet a transféré un 'Munitions pour mitraillette' #200905 vers un conteneur nommé 'Caisse en bois' #10519.
[18:17:11	]Garet a transféré un 'Munitions pour mitraillette' #200907 vers un conteneur nommé 'Caisse en bois' #10519.
[18:17:12	]Garet a transféré un 'Munitions 357' #200902 vers un conteneur nommé 'Caisse en bois' #10519.
[18:17:12	]Garet a transféré un 'Munitions 357' #200901 vers un conteneur nommé 'Caisse en bois' #10519.
[18:17:13	]Garet a transféré un 'Munitions 357' #200900 vers un conteneur nommé 'Caisse en bois' #10519.
[18:17:13	]Garet a transféré un 'Munitions pour mitraillette' #200915 vers un conteneur nommé 'Caisse en bois' #10519.
[18:17:14	]Garet a transféré un 'Munitions pour mitraillette' #200914 vers un conteneur nommé 'Caisse en bois' #10519.
[18:17:15	]Garet a fermé le stockage 'Caisse en bois' #10519.
[18:17:18	]Garet a fait apparaitre 'models/props_junk/wood_crate001a.mdl.
[18:17:21	]Garet created a 'Caisse en bois' container.
[18:17:21	]Garet a utilisé une option de menu contextuel portant ce nom : wncontainer_create
[18:17:24	]Garet a défini le stockage 'Caisse en bois' sur privé, détenu par '10539'.
[18:17:24	]Garet a utilisé une option de menu contextuel portant ce nom : wncontainer_setprivate
[18:17:27	]Garet a défini le mot de passe du stockage sur 'Caisse en bois' (#10539).
[18:17:27	]Garet a utilisé une option de menu contextuel portant ce nom : wncontainer_setpassword
[18:17:36	]Garet a ouvert le stockage 'Caisse en bois' #10539.
[18:17:38	]Garet a transféré un 'Munitions 357' #200899 vers un conteneur nommé 'Caisse en bois' #10539.
[18:17:38	]Garet a transféré un 'Munitions 357' #200898 vers un conteneur nommé 'Caisse en bois' #10539.
[18:17:38	]Garet a transféré un 'Munitions 357' #200897 vers un conteneur nommé 'Caisse en bois' #10539.
[18:17:39	]Garet a transféré un 'Munitions 357' #200896 vers un conteneur nommé 'Caisse en bois' #10539.
[18:17:39	]Garet a transféré un 'Munitions pour mitraillette' #200913 vers un conteneur nommé 'Caisse en bois' #10539.
[18:17:39	]Garet a transféré un 'Munitions pour mitraillette' #200912 vers un conteneur nommé 'Caisse en bois' #10539.
[18:17:41	]Garet a fermé le stockage 'Caisse en bois' #10539.
[18:17:43	]Garet s'est give bullets_smg1.
[18:17:43	]Garet a gagné un 'Munitions pour mitraillette' #200916.
[18:17:44	]Garet s'est give bullets_smg1.
[18:17:45	]Garet a gagné un 'Munitions pour mitraillette' #200917.
[18:17:45	]Garet s'est give bullets_smg1.
[18:17:45	]Garet a gagné un 'Munitions pour mitraillette' #200918.
[18:17:46	]Garet s'est give bullets_smg1.
[18:17:46	]Garet a gagné un 'Munitions pour mitraillette' #200919.
[18:17:46	]Garet s'est give bullets_smg1.
[18:17:46	]Garet a gagné un 'Munitions pour mitraillette' #200920.
[18:17:47	]Garet s'est give bullets_smg1.
[18:17:47	]Garet a gagné un 'Munitions pour mitraillette' #200921.
[18:17:48	]Garet s'est give bullets_smg1.
[18:17:48	]Garet a gagné un 'Munitions pour mitraillette' #200922.
[18:17:49	]Garet s'est give bullets_smg1.
[18:17:49	]Garet a gagné un 'Munitions pour mitraillette' #200923.
[18:17:50	]Garet a ouvert le stockage 'Caisse en bois' #10539.
[18:17:52	]Garet a transféré un 'Munitions pour mitraillette' #200921 vers un conteneur nommé 'Caisse en bois' #10539.
[18:17:52	]Garet a transféré un 'Munitions pour mitraillette' #200920 vers un conteneur nommé 'Caisse en bois' #10539.
[18:17:52	]Garet a transféré un 'Munitions pour mitraillette' #200919 vers un conteneur nommé 'Caisse en bois' #10539.
[18:17:52	]Garet a transféré un 'Munitions pour mitraillette' #200918 vers un conteneur nommé 'Caisse en bois' #10539.
[18:17:53	]Garet a transféré un 'Munitions pour mitraillette' #200917 vers un conteneur nommé 'Caisse en bois' #10539.
[18:17:53	]Garet a transféré un 'Munitions pour mitraillette' #200923 vers un conteneur nommé 'Caisse en bois' #10539.
[18:17:53	]Garet a transféré un 'Munitions pour mitraillette' #200916 vers un conteneur nommé 'Caisse en bois' #10539.
[18:17:54	]Garet a transféré un 'Munitions pour mitraillette' #200922 vers un conteneur nommé 'Caisse en bois' #10539.
[18:17:55	]Garet a fermé le stockage 'Caisse en bois' #10539.
[18:18:14	]Garet a fait apparaitre 'models/props_wasteland/kitchen_counter001d.mdl.
[18:18:21	]Garet a fait apparaitre 'models/props_wasteland/kitchen_counter001b.mdl.
[18:18:27	]Garet a activé persistance pour 'models/props_wasteland/kitchen_counter001b.mdl'.
[18:18:27	]Garet a utilisé une option de menu contextuel portant ce nom : persist
[18:18:27	]Garet a activé persistance pour 'models/props_wasteland/kitchen_counter001d.mdl'.
[18:18:27	]Garet a utilisé une option de menu contextuel portant ce nom : persist
[18:18:33	]Garet a fait apparaitre 'models/props_wasteland/kitchen_counter001d.mdl.
[18:18:42	]Garet a activé persistance pour 'models/props_wasteland/kitchen_counter001d.mdl'.
[18:18:42	]Garet a utilisé une option de menu contextuel portant ce nom : persist
[18:18:45	]Garet a désactivé persistance pour 'models/props_wasteland/kitchen_counter001d.mdl'.
[18:18:45	]Garet a utilisé une option de menu contextuel portant ce nom : persist_end
[18:18:59	]Garet a fait apparaitre 'models/props_wasteland/kitchen_counter001d.mdl.
[18:19:08	]Garet a activé persistance pour 'models/props_wasteland/kitchen_counter001d.mdl'.
[18:19:08	]Garet a utilisé une option de menu contextuel portant ce nom : persist
[18:19:09	]Garet a activé persistance pour 'models/props_wasteland/kitchen_counter001d.mdl'.
[18:19:09	]Garet a utilisé une option de menu contextuel portant ce nom : persist
[18:19:18	]Garet a fait apparaitre 'models/props_c17/chair02a.mdl.
[18:19:20	]Garet a fait apparaitre 'models/props_c17/chair02a.mdl.
[18:19:30	]Garet a fait spawn l'entité 'ix_chair' avec le model 'models/props_c17/chair02a.mdl'.
[18:19:30	]Garet a utilisé une option de menu contextuel portant ce nom : ixusableentitycreate
[18:19:42	]Garet a fait apparaitre 'models/props_junk/cardboard_box003b_gib01.mdl.
[18:19:45	]Garet a fait apparaitre 'models/props_junk/cardboard_box003b.mdl.
[18:19:49	]Garet a fait apparaitre 'models/props_junk/cardboard_box003a_gib01.mdl.
[18:19:52	]Garet a fait apparaitre 'models/props_junk/cardboard_box003b.mdl.
[18:19:56	]Garet a fait apparaitre 'models/props_junk/cardboard_box001a_gib01.mdl.
[18:19:59	]Garet a fait apparaitre 'models/props_junk/cardboard_box001b.mdl.
[18:20:06	]Garet a fait apparaitre 'models/props_junk/cardboard_box002b.mdl.
[18:20:11	]Garet a fait apparaitre 'models/props_junk/cardboard_box001b.mdl.
[18:20:18	]Garet a créé une réserve (models/props_junk/cardboard_box003b.mdl).
[18:20:18	]Garet a utilisé une option de menu contextuel portant ce nom : ixcreatestash
[18:20:19	]Garet a créé une réserve (models/props_junk/cardboard_box003b.mdl).
[18:20:19	]Garet a utilisé une option de menu contextuel portant ce nom : ixcreatestash
[18:20:20	]Garet a créé une réserve (models/props_junk/cardboard_box001b.mdl).
[18:20:20	]Garet a utilisé une option de menu contextuel portant ce nom : ixcreatestash
[18:20:21	]Garet a créé une réserve (models/props_junk/cardboard_box001b.mdl).
[18:20:21	]Garet a utilisé une option de menu contextuel portant ce nom : ixcreatestash
[18:20:23	]Garet opened la réserve 'Cachette personnelle 6278'.
[18:20:25	]Garet a fermé la réserve 'Cachette personnelle 6278'.
[18:20:31	]Garet a fait apparaitre 'models/props_junk/cardboard_box001b.mdl.
[18:20:39	]Garet a fait apparaitre 'models/props_lab/filecabinet02.mdl.
[18:20:42	]Garet created a 'Armoire à dossiers' container.
[18:20:42	]Garet a utilisé une option de menu contextuel portant ce nom : wncontainer_create
[18:20:56	]Garet s'est give cit_computer.
[18:20:58	]Garet a exécuté 'Place' sur l'article 'Ordinateur de Citoyen' (#200924)
[18:21:26	]Garet s'est give container_small_dummy.
[18:21:30	]Garet a utilisé une option de menu contextuel portant ce nom : remove
[18:21:40	]Garet a activé le mode observateur.
[18:21:49	]Garet a fait apparaitre 'models/props_c17/FurnitureMattress001a.mdl.
[18:21:58	]Garet a fait apparaitre 'models/props_c17/FurnitureMattress001a.mdl.
[18:22:16	]Garet a fait apparaitre 'models/props_c17/FurnitureMattress001a.mdl.
[18:22:26	]Garet a fait apparaitre 'models/props_c17/FurnitureMattress001a.mdl.
[18:22:42	]Garet a désactivé le mode observateur à son point d'origine.
[18:22:42	][DEBUG-WEPBAL] Chance: 0.000; Roll: 0.212; Result: HIT;
[18:22:44	]Garet a activé le mode observateur.
[18:22:51	]Garet a fait apparaitre 'models/props_c17/FurnitureMattress001a.mdl.
[18:23:11	]Garet a fait apparaitre 'models/props_wasteland/kitchen_shelf001a.mdl.
[18:23:28	]Garet a fait apparaitre 'models/props_wasteland/kitchen_shelf001a.mdl.
[18:23:38	]Garet a créé une réserve (models/props_wasteland/kitchen_shelf001a.mdl).
[18:23:38	]Garet a utilisé une option de menu contextuel portant ce nom : ixcreatestash
[18:23:41	]Garet opened la réserve 'Cachette personnelle 6288'.
[18:23:42	]Garet a fermé la réserve 'Cachette personnelle 6288'.
[18:23:43	]Garet a désactivé le mode observateur à son point d'origine.
[18:23:45	]Garet a utilisé une option de menu contextuel portant ce nom : remove
[18:23:48	]Garet a fait apparaitre 'models/props_wasteland/kitchen_shelf001a.mdl.
[18:24:00	]Garet a activé persistance pour 'models/props_wasteland/kitchen_shelf001a.mdl'.
[18:24:00	]Garet a utilisé une option de menu contextuel portant ce nom : persist
[18:24:00	]Garet a activé persistance pour 'models/props_wasteland/kitchen_shelf001a.mdl'.
[18:24:00	]Garet a utilisé une option de menu contextuel portant ce nom : persist
[18:24:02	]Garet a activé persistance pour 'models/props_c17/furnituremattress001a.mdl'.
[18:24:02	]Garet a utilisé une option de menu contextuel portant ce nom : persist
[18:24:03	]Garet a activé persistance pour 'models/props_c17/furnituremattress001a.mdl'.
[18:24:03	]Garet a utilisé une option de menu contextuel portant ce nom : persist
[18:24:05	]Garet a activé persistance pour 'models/props_c17/furnituremattress001a.mdl'.
[18:24:05	]Garet a utilisé une option de menu contextuel portant ce nom : persist
[18:24:05	]Garet a activé persistance pour 'models/props_c17/furnituremattress001a.mdl'.
[18:24:05	]Garet a utilisé une option de menu contextuel portant ce nom : persist
[18:24:06	]Garet a activé persistance pour 'models/props_c17/furnituremattress001a.mdl'.
[18:24:06	]Garet a utilisé une option de menu contextuel portant ce nom : persist
[18:24:15	]Garet a fait apparaitre 'models/props_junk/wood_crate002a.mdl.
[18:24:18	]Garet created a 'Grosse caisse en bois' container.
[18:24:18	]Garet a utilisé une option de menu contextuel portant ce nom : wncontainer_create
[18:24:20	]Garet a fait apparaitre 'models/props_junk/wood_crate001a.mdl.
[18:24:24	]Garet created a 'Caisse en bois' container.
[18:24:24	]Garet a utilisé une option de menu contextuel portant ce nom : wncontainer_create
[18:24:34	]Garet a activé le mode observateur.
[18:24:45	]Garet a désactivé le mode observateur à son point d'origine.
[18:24:56	]Garet a activé le mode observateur.
[18:25:19	]Garet a désactivé le mode observateur à son point d'origine.
[18:25:28	]Garet a utilisé la commande '/SpawnAdd garde'.
[18:25:32	]Garet a utilisé la commande '/SpawnAdd cons'.
[18:25:37	]Garet a utilisé la commande '/SpawnAdd conscrit'.
[18:26:02	]Garet a utilisé la commande '/SpawnAdd républicaine'.
[18:26:05	]Garet a utilisé la commande '/SpawnAdd republicaine'.
[18:26:15	]Garet a utilisé la commande '/SpawnAdd ota'.
[18:26:24	]Garet a utilisé la commande '/SpawnAdd Conscription'.
[18:27:01	]Garet a utilisé la commande '/SpawnAdd Garde'.
[18:27:13	]Garet a utilisé la commande '/SpawnAdd City'.
[18:27:16	]Garet a activé le mode observateur.
[18:27:29	]Garet a désactivé le mode observateur à son point d'origine.
[18:27:38	]Garet a fait apparaitre 'models/hunter/plates/plate2x3.mdl.
[18:27:41	]Garet a fait apparaitre 'models/hunter/plates/plate2x6.mdl.
[18:27:48	]Garet a fait apparaitre 'models/hunter/plates/plate3x4.mdl.
[18:27:50	]Garet a fait apparaitre 'models/hunter/plates/plate3x6.mdl.
[18:28:01	]Garet a fait apparaitre 'models/hunter/plates/plate3x6.mdl.
[18:28:08	]Garet a fait apparaitre 'models/hunter/plates/plate3x6.mdl.
[18:28:20	]Garet a activé le mode observateur.
[18:28:36	]Garet a désactivé le mode observateur à son point d'origine.
[18:28:52	]Garet a utilisé la commande '/SpawnAdd Citoyen'.
[18:28:54	]Garet a utilisé la commande '/SpawnAdd Citoyen'.
[18:28:55	]Garet a utilisé la commande '/SpawnAdd Citoyen'.
[18:28:56	]Garet a utilisé la commande '/SpawnAdd Citoyen'.
[18:28:57	]Garet a utilisé la commande '/SpawnAdd Citoyen'.
[18:28:58	]Garet a utilisé la commande '/SpawnAdd Citoyen'.
[18:29:00	]Garet a utilisé la commande '/SpawnAdd Citoyen'.
[18:29:02	]Garet a utilisé la commande '/SpawnAdd Citoyen'.
[18:29:04	]Garet a utilisé la commande '/SpawnAdd Citoyen'.
[18:29:05	]Garet a utilisé la commande '/SpawnAdd Citoyen'.
[18:29:06	]Garet a utilisé la commande '/SpawnAdd Citoyen'.
[18:29:07	]Garet a activé le mode observateur.
[18:29:34	]Garet a désactivé le mode observateur à son point d'origine.
[18:29:40	]Garet a utilisé la commande '/SpawnRemove 100'.
[18:29:41	]Garet a activé le mode observateur.
[18:29:43	]Garet a utilisé la commande '/SpawnRemove 100'.
[18:29:52	]Garet a utilisé la commande '/SpawnAdd rg'.
[18:30:35	]Garet a désactivé le mode observateur à son point d'origine.
[18:30:38	]Garet a utilisé la commande '/SpawnAdd Citoyen'.
[18:30:40	]Garet a utilisé la commande '/SpawnAdd Citoyen'.
[18:30:40	]Garet a activé le mode observateur.
[18:30:42	]Garet a désactivé le mode observateur à son point d'origine.
[18:30:47	]Garet a utilisé la commande '/SpawnAdd Citoyen'.
[18:30:48	]Garet a utilisé la commande '/SpawnAdd Citoyen'.
[18:30:48	]Garet a activé le mode observateur.
[18:30:51	]Garet a désactivé le mode observateur à son point d'origine.
[18:30:52	]Garet a utilisé la commande '/SpawnAdd Citoyen'.
[18:30:54	]Garet a utilisé la commande '/SpawnAdd Citoyen'.
[18:30:55	]Garet a activé le mode observateur.
[18:30:58	]Garet a désactivé le mode observateur à son point d'origine.
[18:31:00	]Garet a fait apparaitre 'models/hunter/plates/plate4x8.mdl.
[18:31:01	]Garet a activé le mode observateur.
[18:31:10	]Garet a désactivé le mode observateur à son point d'origine.
[18:31:12	]Garet a fait apparaitre 'models/hunter/plates/plate4x8.mdl.
[18:31:12	]Garet a activé le mode observateur.
[18:31:23	]Garet a fait apparaitre 'models/hunter/plates/plate4x8.mdl.
[18:31:59	]Garet a fait apparaitre 'models/hunter/plates/plate2x2.mdl.
[18:32:03	]Garet a fait apparaitre 'models/hunter/plates/plate4x8.mdl.
[18:32:13	]Garet a désactivé le mode observateur à son point d'origine.
[18:32:31	]Garet has fired a toolgun with the name: material
[18:32:32	]Garet has fired a toolgun with the name: material
[18:32:32	]Garet has fired a toolgun with the name: material
[18:32:35	]Garet has fired a toolgun with the name: material
[18:32:35	]Garet has fired a toolgun with the name: material
[18:32:36	]Garet has fired a toolgun with the name: material
[18:32:36	]Garet has fired a toolgun with the name: material
[18:32:43	]Garet a activé le mode observateur.
[18:32:46	]Garet a désactivé le mode observateur à son point d'origine.
[18:32:48	]Garet a utilisé la commande '/SpawnAdd Citoyen'.
[18:32:48	]Garet a activé le mode observateur.
[18:32:50	]Garet a désactivé le mode observateur à son point d'origine.
[18:32:52	]Garet a utilisé la commande '/SpawnAdd Citoyen'.
[18:32:53	]Garet a utilisé la commande '/SpawnAdd Citoyen'.
[18:32:54	]Garet a activé le mode observateur.
[18:32:56	]Garet a désactivé le mode observateur à son point d'origine.
[18:32:57	]Garet a utilisé la commande '/SpawnAdd Citoyen'.
[18:32:57	]Garet a activé le mode observateur.
[18:32:59	]Garet a désactivé le mode observateur à son point d'origine.
[18:33:00	]Garet a utilisé la commande '/SpawnAdd Citoyen'.
[18:33:01	]Garet a activé le mode observateur.
[18:33:20	]Garet a désactivé le mode observateur à son point d'origine.
[18:33:22	]Garet a activé le mode observateur.
[18:33:23	]Garet a désactivé le mode observateur à son point d'origine.
[18:33:28	]Garet a utilisé la commande '/SpawnAdd vortigaunt'.
[18:33:30	]Garet a utilisé la commande '/SpawnAdd vortigaunt'.
[18:33:31	]Garet a utilisé la commande '/SpawnAdd vortigaunt'.
[18:33:31	]Garet a activé le mode observateur.
[18:34:17	]Garet a désactivé le mode observateur à son point d'origine.
[18:34:19	]Garet a activé le mode observateur.
[18:34:23	]Garet a désactivé le mode observateur à son point d'origine.
[18:34:25	]Garet a activé le mode observateur.
[18:34:25	]Garet a désactivé le mode observateur à son point d'origine.
[18:34:26	]Garet a activé le mode observateur.
[18:34:26	]Garet a désactivé le mode observateur à son point d'origine.
[18:34:27	]Garet a activé le mode observateur.
[18:34:27	]Garet a désactivé le mode observateur à son point d'origine.
[18:34:28	]Garet a activé le mode observateur.
[18:34:28	]Garet a désactivé le mode observateur à son point d'origine.
[18:34:29	]Garet a activé le mode observateur.
[18:34:58	]Garet a désactivé le mode observateur à son point d'origine.
[18:35:03	]Garet has fired a toolgun with the name: light
[18:35:04	]Garet has fired a toolgun with the name: light
[18:35:22	]Garet s'est give res_t5000.
[18:35:22	]Garet a gagné un 'T-5000' #200926.
[18:35:24	]Garet a exécuté 'Equip' sur l'article 'T-5000' (#200926)
[18:35:58	]Garet s'est give scope_eft_bravo4.
[18:35:58	]Garet a gagné un 'BRAVO4 4X30' #200927.
[18:36:00	]Garet a perdu un 'BRAVO4 4X30' #200927.
[18:36:12	]Garet a exécuté 'EquipUn' sur l'article 'T-5000' (#200926)
[18:36:14	]Garet a exécuté 'drop' sur l'article 'T-5000' (#200926)
[18:36:14	]Garet a perdu un 'T-5000' #200926.
[18:36:37	]Garet has fired a toolgun with the name: light
[18:36:53	]Garet s'est give bullets_sniper.
[18:36:54	]Garet s'est give bullets_sniper.
[18:36:55	]Garet s'est give bullets_sniper.
[18:37:32	]Garet a exécuté 'take' sur l'article 'T-5000' (#200926)
[18:37:32	]Garet a gagné un 'T-5000' #200926.
[18:38:29	]Garet s'est give magazine_sniper.
[18:38:29	]Garet a gagné un 'Chargeur de Sniper' #200931.
[18:38:29	]Garet s'est give magazine_sniper.
[18:38:29	]Garet a gagné un 'Chargeur de Sniper' #200932.
[18:38:30	]Garet s'est give magazine_sniper.
[18:38:30	]Garet a gagné un 'Chargeur de Sniper' #200933.
[18:38:33	]Garet a exécuté 'drop' sur l'article 'T-5000' (#200926)
[18:38:33	]Garet a perdu un 'T-5000' #200926.
[18:38:59	]Garet a exécuté 'drop' sur l'article 'Chargeur de Sniper' (#200931)
[18:38:59	]Garet a perdu un 'Chargeur de Sniper' #200931.
[18:39:00	]Garet a exécuté 'drop' sur l'article 'Chargeur de Sniper' (#200932)
[18:39:00	]Garet a perdu un 'Chargeur de Sniper' #200932.
[18:39:00	]Garet a exécuté 'drop' sur l'article 'Chargeur de Sniper' (#200933)
[18:39:00	]Garet a perdu un 'Chargeur de Sniper' #200933.
[18:39:56	]Garet s'est give luxury_choc.
[18:39:57	]Garet s'est give luxury_choc.
[18:40:15	]Garet s'est give food_peanuts.
[18:40:16	]Garet s'est give food_peanuts.
[18:40:18	]Garet s'est give food_peanuts.
[18:40:19	]Garet s'est give food_peanuts.
[18:40:30	]Garet s'est give proc_nutrient_bar.
[18:40:31	]Garet s'est give proc_nutrient_bar.
[18:40:32	]Garet s'est give proc_nutrient_bar.
[18:40:35	]Garet s'est give proc_nutrient_bar.
[18:40:36	]Garet s'est give proc_nutrient_bar.
[18:40:37	]Garet s'est give proc_nutrient_bar.
[18:40:41	]Garet s'est give drink_banksoda_grey.
[18:40:42	]Garet s'est give drink_banksoda_grey.
[18:40:51	]Garet s'est give artificial_meatpaste.
[18:40:54	]Garet a activé le mode observateur.
[18:40:59	]Garet s'est give drink_breen_water.
[18:41:00	]Garet s'est give drink_breen_water.
[18:41:01	]Garet s'est give drink_breen_water.
[18:41:02	]Garet s'est give drink_breen_water.
[18:41:04	]Garet s'est give drink_breen_water.
[18:41:15	]Garet a désactivé le mode observateur à son point d'origine.
[18:41:17	]Garet a activé le mode observateur.
[18:41:40	]Garet a désactivé le mode observateur à son point d'origine.
[18:41:50	]Garet a activé le mode observateur.
[18:41:52	]Garet a désactivé le mode observateur à son point d'origine.
[18:41:57	]Garet a fait apparaitre 'models/props_wasteland/kitchen_shelf001a.mdl.
[18:42:02	]Garet a fait apparaitre 'models/props_wasteland/kitchen_shelf001a.mdl.
[18:42:13	]Garet a fait apparaitre 'models/props_wasteland/kitchen_shelf001a.mdl.
[18:42:17	]Garet a fait apparaitre 'models/props_wasteland/kitchen_shelf001a.mdl.
[18:42:23	]Garet a activé persistance pour 'models/props_wasteland/kitchen_shelf001a.mdl'.
[18:42:23	]Garet a utilisé une option de menu contextuel portant ce nom : persist
[18:42:23	]Garet a activé persistance pour 'models/props_wasteland/kitchen_shelf001a.mdl'.
[18:42:23	]Garet a utilisé une option de menu contextuel portant ce nom : persist
[18:42:25	]Garet a activé persistance pour 'models/props_wasteland/kitchen_shelf001a.mdl'.
[18:42:25	]Garet a utilisé une option de menu contextuel portant ce nom : persist
[18:42:25	]Garet a activé persistance pour 'models/props_wasteland/kitchen_shelf001a.mdl'.
[18:42:25	]Garet a utilisé une option de menu contextuel portant ce nom : persist
[18:42:28	]Garet a utilisé la commande '/ShowEdicts'.
[18:42:39	]Garet s'est give bird_potluck.
[18:42:40	]Garet s'est give bird_potluck.
[18:42:41	]Garet s'est give bird_potluck.
[18:42:50	]Garet s'est give drink_white_wine.
[18:42:51	]Garet s'est give drink_white_wine.
[18:42:52	]Garet s'est give drink_white_wine.
[18:42:54	]Garet s'est give drink_white_wine.
[18:42:58	]Garet s'est give drink_whiskey.
[18:42:58	]Garet s'est give drink_vodka.
[18:43:33	]Garet a activé le mode observateur.
[18:43:37	]Garet a désactivé le mode observateur à son point d'origine.
[18:44:26	]Garet s'est give fruit_watermelon.
[18:44:29	]Garet s'est give fruit_watermelon.
[18:44:31	]Garet s'est give fruit_watermelon.
[18:44:48	]Garet s'est give baking_bread.
[18:44:51	]Garet s'est give baking_bread.
[18:44:52	]Garet s'est give baking_bread.
[18:44:53	]Garet s'est give baking_bread.
[18:44:54	]Garet s'est give baking_bread.
[18:44:55	]Garet s'est give baking_bread.
[18:44:58	]Garet a utilisé la commande '/ShowEdicts'.
[18:45:07	]Garet s'est give drink_breen_water.
[18:45:09	]Garet s'est give drink_breen_water.
[18:45:10	]Garet s'est give drink_breen_water.
[18:45:12	]Garet s'est give drink_breen_water.
[18:45:14	]Garet s'est give drink_breen_water.
[18:45:15	]Garet s'est give drink_breen_water.
[18:45:16	]Garet s'est give drink_flatwhite.
[18:45:21	]Garet a utilisé une option de menu contextuel portant ce nom : remove
[18:45:24	]Garet s'est give drink_breen_water.
[18:45:25	]Garet s'est give drink_breen_water.
[18:45:26	]Garet s'est give drink_breen_water.
[18:45:30	]Garet s'est give drink_breen_water.
[18:45:30	]Garet s'est give drink_breen_water.
